domain_length,domain_num_of_unique_char,domain_num_of_unique_letters,domain_num_of_unique_numbers,ratio_of_letters_of_domain_name,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,entropy,vowel_consonant_ratio,dict_ratio,domain_class
12,10,8,2,0.75,0.25,0.8,0.2,3.2516291673878226,0.799999840000032,0.0,legit
11,9,7,2,0.7272727272727273,0.2727272727272727,0.7777777777777778,0.2222222222222222,3.095795255000934,0.599999880000024,0.0,legit
12,7,5,2,0.75,0.25,0.7142857142857143,0.2857142857142857,2.584962500721156,0.799999840000032,0.0,legit
10,8,6,2,0.7,0.3,0.75,0.25,2.9219280948873623,0.399999920000016,0.0,legit
9,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.94770277922009,0.9999996666667778,0.0,legit
9,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.94770277922009,0.9999996666667778,0.0,legit
9,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.94770277922009,0.9999996666667778,0.0,legit
9,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.94770277922009,0.9999996666667778,0.0,legit
9,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.94770277922009,0.9999996666667778,0.0,legit
7,6,4,2,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.3333333333333333,2.521640636343318,0.33333322222225925,0.0,legit
13,10,8,2,0.7692307692307693,0.23076923076923078,0.8,0.2,3.238901256602631,0.6666665555555741,0.0,legit
9,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.94770277922009,0.49999987500003124,0.0,legit
20,13,11,2,0.85,0.15,0.8461538461538461,0.15384615384615385,3.584183719779189,0.699999930000007,0.0,legit
27,18,13,5,0.6666666666666666,0.3333333333333333,0.7222222222222222,0.2777777777777778,3.986187965046303,0.05882352595155729,0.0,dga
26,18,11,7,0.5384615384615384,0.46153846153846156,0.6111111111111112,0.3888888888888889,4.0081320258334,0.07692307100591762,0.0,dga
28,19,10,9,0.4642857142857143,0.5357142857142857,0.5263157894736842,0.47368421052631576,4.09306920777189,0.1818181652892577,0.0,dga
7,7,4,3,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,2.8073549220576037,0.33333322222225925,0.0,legit
27,22,14,8,0.5925925925925926,0.4074074074074074,0.6363636363636364,0.36363636363636365,4.310443057719024,0.4545454132231443,0.0,dga
27,20,13,7,0.6296296296296297,0.37037037037037035,0.65,0.35,4.180451390892101,0.13333332444444504,0.0,dga
26,16,12,4,0.7307692307692307,0.2692307692307692,0.75,0.25,3.8441065448145384,0.11764705190311459,0.0,dga
26,19,11,8,0.5384615384615384,0.46153846153846156,0.5789473684210527,0.42105263157894735,4.132944044980959,0.7499999062500118,0.0,dga
27,20,13,7,0.5185185185185185,0.48148148148148145,0.65,0.35,4.152492594515675,0.16666665277777895,0.0,dga
28,19,13,6,0.5357142857142857,0.4642857142857143,0.6842105263157895,0.3157894736842105,4.066108939837481,0.07142856632653098,0.0,dga
27,19,13,6,0.6296296296296297,0.37037037037037035,0.6842105263157895,0.3157894736842105,4.060262039120377,0.5454544958677732,0.0,dga
26,19,12,7,0.5384615384615384,0.46153846153846156,0.631578947368421,0.3684210526315789,4.132944044980959,0.16666665277777895,0.0,dga
27,20,12,8,0.5555555555555556,0.4444444444444444,0.6,0.4,4.162294909570876,0.499999950000005,0.0,dga
26,20,13,7,0.6153846153846154,0.38461538461538464,0.65,0.35,4.209867121904035,0.3333333055555579,0.0,dga
26,19,13,6,0.5384615384615384,0.46153846153846156,0.6842105263157895,0.3157894736842105,3.994111719041081,0.2727272479338866,0.0,dga
24,18,13,5,0.7083333333333334,0.2916666666666667,0.7222222222222222,0.2777777777777778,4.084962500721156,0.13333332444444504,0.0,dga
28,19,12,7,0.5357142857142857,0.4642857142857143,0.631578947368421,0.3684210526315789,4.035582047970576,0.2499999791666684,0.0,dga
26,18,11,7,0.6153846153846154,0.38461538461538464,0.6111111111111112,0.3888888888888889,4.026986833359287,0.14285713265306196,0.0,dga
27,18,12,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,4.032303242743952,0.12499999218750048,0.0,dga
25,16,12,4,0.68,0.32,0.75,0.25,3.813660689688186,0.21428569897959293,0.0,dga
26,17,12,5,0.6153846153846154,0.38461538461538464,0.7058823529411765,0.29411764705882354,3.979097891134805,0.23076921301775286,0.0,dga
27,20,14,6,0.6666666666666666,0.3333333333333333,0.7,0.3,4.162294909570876,0.12499999218750048,0.0,dga
27,20,13,7,0.5925925925925926,0.4074074074074074,0.65,0.35,4.162294909570876,0.23076921301775286,0.0,dga
26,19,13,6,0.6923076923076923,0.3076923076923077,0.6842105263157895,0.3157894736842105,4.132944044980959,0.3846153550295881,0.0,dga
25,18,11,7,0.64,0.36,0.6111111111111112,0.3888888888888889,4.053660689688186,0.4545454132231443,0.0,dga
27,20,12,8,0.48148148148148145,0.5185185185185185,0.6,0.4,4.134336113194451,0.299999970000003,0.0,dga
27,17,12,5,0.7037037037037037,0.2962962962962963,0.7058823529411765,0.29411764705882354,3.930270372293453,0.7272726611570308,0.0,dga
26,21,14,7,0.6923076923076923,0.3076923076923077,0.6666666666666666,0.3333333333333333,4.315824333525708,0.2857142653061239,0.0,dga
26,18,11,7,0.6153846153846154,0.38461538461538464,0.6111111111111112,0.3888888888888889,4.056020968057882,0.23076921301775286,0.0,dga
26,15,7,8,0.38461538461538464,0.6153846153846154,0.4666666666666667,0.5333333333333333,3.738149333192866,0.24999996875000394,0.0,dga
25,18,10,8,0.56,0.44,0.5555555555555556,0.4444444444444444,4.023465189601647,0.5555554938271674,0.0,dga
28,16,10,6,0.5714285714285714,0.42857142857142855,0.625,0.375,3.7943360657504512,0.14285713265306196,0.0,dga
26,18,9,9,0.5384615384615384,0.46153846153846156,0.5,0.5,4.0081320258334,0.07692307100591762,0.0,dga
7,7,4,3,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,2.8073549220576037,0.99999950000025,0.0,legit
27,16,11,5,0.6666666666666666,0.3333333333333333,0.6875,0.3125,3.884155094595804,0.4999999583333368,0.0,dga
26,17,10,7,0.5384615384615384,0.46153846153846156,0.5882352941176471,0.4117647058823529,3.95006375643621,0.2727272479338866,0.0,dga
25,16,11,5,0.6,0.4,0.6875,0.3125,3.813660689688186,0.07142856632653098,0.0,dga
10,8,5,3,0.7,0.3,0.625,0.375,2.8464393446710154,0.7499998125000469,0.0,legit
28,18,12,6,0.4642857142857143,0.5357142857142857,0.6666666666666666,0.3333333333333333,3.735926350629033,0.299999970000003,0.0,dga
10,10,7,3,0.7,0.3,0.7,0.3,3.3219280948873626,0.7499998125000469,0.0,legit
27,18,10,8,0.5185185185185185,0.48148148148148145,0.5555555555555556,0.4444444444444444,3.930270372293453,0.9999998571428775,0.0,dga
27,19,13,6,0.5555555555555556,0.4444444444444444,0.6842105263157895,0.3157894736842105,4.106377316818026,0.07142856632653098,0.0,dga
26,19,16,3,0.6923076923076923,0.3076923076923077,0.8421052631578947,0.15789473684210525,4.056020968057882,0.12499999218750048,0.0,dga
27,21,14,7,0.5925925925925926,0.4074074074074074,0.6666666666666666,0.3333333333333333,4.23636898364495,0.4545454132231443,0.0,dga
27,18,11,7,0.48148148148148145,0.5185185185185185,0.6111111111111112,0.3888888888888889,3.9545304475546974,0.299999970000003,0.0,dga
26,18,12,6,0.6538461538461539,0.34615384615384615,0.6666666666666666,0.3333333333333333,4.056020968057882,0.5454544958677732,0.0,dga
26,18,11,7,0.5769230769230769,0.4230769230769231,0.6111111111111112,0.3888888888888889,4.0081320258334,0.499999950000005,0.0,dga
25,18,14,4,0.8,0.2,0.7777777777777778,0.2222222222222222,4.053660689688186,0.17647057785467188,0.0,dga
27,15,9,6,0.5185185185185185,0.48148148148148145,0.6,0.4,3.736006946447656,0.5555554938271674,0.0,dga
25,17,13,4,0.72,0.28,0.7647058823529411,0.23529411764705882,3.893660689688186,0.3846153550295881,0.0,dga
26,21,14,7,0.6538461538461539,0.34615384615384615,0.6666666666666666,0.3333333333333333,4.315824333525708,0.21428569897959293,0.0,dga
28,18,12,6,0.6071428571428571,0.39285714285714285,0.6666666666666666,0.3333333333333333,3.8248629576173565,0.41666663194444736,0.0,dga
